aduka,-tse,"appear,introduced"
adukana,-nye,introduce
aguka,-tse,"widened,wider"
agura,-ye,"widen,wider"
ahuka,-tse,pasture
ahukana,-nye,"separated,divorced"
ahura,-ye,"herd,pasture"
aka,-tse,take
aka,-tse,"burning,started,thirsty"
akira,-riye,"receive,welcome,accept,take"
amagana,-nye,"reject,censure,disapproval"
amamara,-ye,"spread,known"
amamaza,-je,"advertise,publish,known,declare,campaign"
ambara,-ye,wear
ambarwa,-we,worn
ambaza,-je,"pray,petition,call,supplicate,implore,call upon"
ambika,-tse,"clothe,dress"
ambuka,-tse,cross
ambura,-ye,"refuse,payback,owe"
ambura,-ye,"take,undress"
anda,-nze,"enlarge,expand"
andarika,-tse,"leave,leave something"
andika,-tse,write
andikira,-ye,"write to,write for,write on"
andikirwa,-we,"written to,written for,written on"
andikisha,-shije,register
andikishwa,-shijwe,registered
andikwa,-tswe,written
anga,-nze,"hate,dislike,refuse,reject"
angana,-nye,"hate,dislike,hate each other,dislike each other"
angira,-ye,"resist,refuse"
angirika,-tse,"destroyed,damaged"
angirira,-ye,"resist,refuse"
angiza,-je,"damage,waste,destroy"
angwa,-nzwe,"hated,dislike,refused"
anika,-tse,expose
anjwa,-njwe,ramble
anura,-ze,bring
anzura,-ye,"decide,conclude"
arama,-mye,stay
arika,-tse,"nest,make a nest"
arika,-tse,"mix,make posho"
arika,-tse,stay
asa,-shije,"cut,chop firewood"
asama,-mye,"open one's mouth"
atsa,-kije,"start,fire,set fire"
atswa,-kijwe,"started,burned"
aya,-ye,pretending
ayura,-ye,yawn
ba,-baye,"be,are,am,were,was,live,exist,been"
babara,-ye,"pain,suffer,hurt"
babarira,-ye,forgive
babarirwa,-we,forgiven
babaza,-je,"hurt,offend cause suffering"
babazwa,-jwe,"hurt,offended"
baduka,-tse,arise
baga,-ze,"butcher,operate,remove skin"
bagana,-nye,fight
bagara,-ye,weed
bagarwa,-we,weeded
bagwa,-zwe,"butchered,operated"
bamba,-mbye,"stretch,dry,crucify"
bambura,-ye,"remove,drying"
bana,-nye,live
bangikanya,-nije,"parallel,facing"
banguka,-tse,"hurry,go quickly,rush"
banza,-njije,begin
banziriza,-je,precede
banzwa,-njijwe,begun
bara,-ze,count
barura,-ye,"statistics,make statistics"
barwa,-we,counted
basha,-shije,"able,capable,power"
batiza,-je,baptise
batizwa,-jwe,baptised
baza,-je,"make,carpentry,sculpt"
baza,-jije,"ask,enquire,query"
bengerana,-nye,"shine,gleam"
bera,-reye,unjust
bera,-reye,"for,due,because"
berama,-mye,"tilt,slope"
berama,-mye,"sick,ill"
berekera,-ye,"pass,aside"
berereka,-tse,"move,move aside"
berwa,-we,"fit,fitting,dressed,smart,well dressed"
beshya,-shye,"lie,deceive"
beshyabeshya,-ye,"amuse,fool"
beshyera,-ye,"accuse,lie,falsely accuse"
biba,-bye,"plant,sow"
biha,-shye,"bad tasting,tasting,foul tasting"
bika,-tse,crow
bika,-tse,"break the news"
bika,-tse,"put,store,keep,save,put away"
bikira,-ye,"reserve,book,keep for"
bikura,-ye,"withdraw,take back"
bimbura,-ye,"start,begin,first"
bira,-ze,boiling
birindura,-tse,roll
bisa,-shije,"move,move aside"
bisikana,-nye,"cross,bypass"
biza,-jije,boil
bobera,-ye,"soft,wet"
bobeza,-je,"soft,wet"
bogora,-ye,"pour milk,adjust"
boha,-shye,"bind,tie,weave,knit"
bohekanya,-nije,"braid,twist"
bohora,-ye,"release,liberate,untie"
bona,-nye,"see,find,get"
bonana,-nye,"see,find"
boneka,-tse,"visible,appear,show,available"
bonera,-ye,"see,meet,find,recover"
bonera,-ye,"fit,straight,right"
bonerana,-nye,transparent
boneza,-je,"target,go straight"
boneza,-je,"clean,visible,pure"
bonwa,-nwe,seen
bora,-ze,"rot,decay"
boroga,-ze,"howl,wail"
buguza,-je,"play,game"
bumba,-mbye,"make bricks,pottery,mould,mould clay"
bumbira,-ye,"make bricks"
bumbira,-ye,"bring,unite,bring together"
bunda,-nze,bend
bunga,-nze,wander
bungabunga,-nze,"preserve,safeguard,protect"
bunguka,-tse,"return,wandering"
bunza,-nje,"selling,go from place to place selling something"
bura,-ze,"lack,lose,find"
burana,-nye,defend
burira,-ye,"warn,alert"
burira,-ye,"lose,lose something"
burirwa,-we,warned
buyera,-ye,"wander,vagabond"
buyereza,-je,wander
buza,-jije,"forbid,prevent,stop"
buzwa,-jijwe,forbidden
bwagura,-ye,"birth,give birth"
bwegeka,-tse,pregnant
bwira,-ye,tell
bwiriza,-je,"preach,incite"
byara,-ye,"birth,give birth,deliver"
byibuha,-shye,"weight,heavier,gain weight"
byiga,-ze,squashing
byimba,-mbye,swell
byina,-nnye,dance
byiruka,-tse,adult
byuka,-tse,"wake,arise,wake up"
byutsa,-kije,wake
ca,-ciye,"tell,tell a story"
ca,-ciye,"pass,pass through"
ca,-ciye,"cut,tear"
"ca inyuma",-ciye,"cheat,affair"
cagagura,-ye,"chop,parse"
cagata,-se,"half,filled,half filled"
cakira,-ye,"catch by surprise,catch"
cana,-nye,"switch,ignite,light"
canwa,-nwe,"switched,ignited"
capa,-pye,print
capisha,-shije,printed
capwa,NULL,printed
ceceka,-tse,"silent,quiet,stop talking"
cecekesha,-sheje,"hush,silence"
cenga,-nze,"trick,dodge"
cengera,-ye,"come,undetected,insurgent,infiltrate"
cengeza,-je,"insert,penetrate"
ceremba,-mbye,"escape,evade"
cika,-tse,torn
cika,-tse,"escape,survive"
cikwa,-tswe,"make,error,err,miscalculate"
cira,-ye,spit
cira,-ye,"tell,tell a story"
ciririkanya,-nije,"bargain,negotiate,negotiate price"
cirwa,-riwe,"told,story,sentenced"
cirwa,-riwe,spat
cogora,-ye,"reduce,less,decreased"
cogoza,-je,"reduce,lessen,decrease,weaken"
cokoza,-je,"tease,disturb,joke"
comeka,-tse,"plug,insert,plug in"
comekora,-ye,"unplug,remove"
conshomera,-ye,"eat,devour,gobble"
cucuma,-mye,mash
cudika,-tse,"friend,befriend"
cugusa,-shije,shake
cukura,-ye,"dig,mine,dig a hole"
cumba,-mbye,"mix,mix posho"
cumba,-mbye,"give,smoke"
cumbika,-tse,"stay,lodging"
cumbikira,-ye,"lodging,give lodging"
cumbukura,-ye,"leave,lodging"
cumita,-se,"penetrate,pierce"
cumura,-ye,sin
cunga,-nze,manage
cungura,-ye,"pay,ransom,redeem,pay ransom"
cura,-ze,take
cura,-ze,forge
cura,-ze,menopause
curanga,-nze,"play,play an instrument"
curika,-tse,"turn,turn upside down"
curura,-ye,"drink once again,start again"
curuza,-je,"business,trade"
curuzwa,-jwe,traded
cuya,-ye,fade
cya,-keye,"change,night,day"
cya,cyeye,clean
cyaha,-shye,rebuke
cyocyora,-ye,"jest,poke fun"
cyura,-ye,"bring,lead,bring back,lead home"
cyurira,-ye,"remind,inferiority"
cyurwa,-we,"brought,home"
dadira,-ye,"lock,seal"
dagadwa,-zwe,"tremble,afraid"
daha,-shye,decant
dahemuka,-tse,"faithful,fail"
dakemwa,-mwe,tempted
damarara,-ye,"lack,luxury"
danangira,-ye,"close tightly,seal,tighten"
dasesa,dasheshe,"spend,disperse"
dedemanga,-nze,"babble,stammer,stutter"
deha,-shye,lazy
diha,-shye,"perform,dance"
dindiza,-je,"hinder,prevent"
doda,-ze,sew
dodwa,-zwe,sewed
dohoka,-tse,"unbind,untie,loosen"
dudubiza,-je,"well,spring"
egama,-mye,leaning
egamira,-ye,"lean,lean against"
egeka,-tse,"lean,place"
egera,-reye,"approach,draw,draw near"
egeranya,-nije,"bring,bring together"
egereza,-je,"bring,bring something"
eguka,-tse,"straighten,straight,upright"
egukira,-ye,"straight,upright"
egura,-ye,"retire,resign,raise"
egurira,-ye,"give,give completely"
ema,-mye,"stand up straight"
emarara,-ye,"stand up straight,robust,raise up,move upright"
emera,-ye,"accept,agree,admit,willing"
emerera,-ye,"allow,permit,promise"
emerwa,-we,"accepted,admitted"
emeza,-je,"prove,demonstrate,confirm"
enda,-nze,about
enda,-nze,"commit,adultery,fornicate"
enda,-nze,take
enga,-nze,"brew beer"
enga,-nze,brew
era,-ze,"white,pure,innocent,holy"
era,-ze,"ripe,mature,harvest"
ereka,-tse,show
erekana,-nye,show
erekera,-ye,"turn,turn toward"
erekeza,-je,"direct,turn,toward"
ererana,-nye,"white,pure"
erura,-ye,"expose,expose the truth"
eruruka,-tse,"pale,anemic"
esa,-she,"smash,break"
esa,-she,"fulfil,fulfil promise"
esura,-ye,"demonstrate,promise"
eza,-jeje,harvest
eza,-jeje,"pure,purify,exonerate,whiten"
eza,-jeje,steal
ezwa,-jwe,"pure,purified,exonerated"
fana,-nnye,support
fangura,-ye,"speed up,quicken"
fasha,-shije,"help,assist"
fashisha,-shije,"help,assist"
fashwa,-shijwe,"helped,assisted"
fata,-she,"take,catch,grasp"
fatanya,-nije,"cooperate,share,partner,join"
finda,-nze,"encode,encrypt,hide"
findura,-ye,"decode,uncover,decrypt,unhide"
fite,NULL,have
fora,-ye,"aim,guess"
fotora,-ye,"photograph,take photograph"
fotorwa,-we,photographed
fudika,-tse,"err,mistake,make a mistake"
fuka,-tse,"cool,cold"
funga,-nze,"close,shut,imprison,lock,logout,fast"
fungana,-nye,narrow
funguka,-tse,"open,unlocked"
fungura,-ye,"meal,eat,have a meal,dine,dilute"
fungura,-ye,"open,login"
fungurira,-ye,feed
fungurwa,-we,opened
fungwa,-nzwe,"closed,shut,imprisoned,locked"
funyanga,-nze,"knead,kick,womb"
fura,-ze,"wash,wash clothes"
futura,-ye,"make lucid or clear,throw light upon,clarify,explain"
gaba,-bye,"give,deploy,put,put forth"
gabanuka,-tse,"diminished,reduced,decreased"
gabanura,-ye,"reduce,lessen,decrease,weaken"
gabanya,-nije,"divide,allot,reduce"
gabanyika,-tse,"divided,allotted,reduced"
gabiza,-je,"turn someone over,report,inform"
gaburira,-ye,"feed,give food"
gaburirwa,-we,"fed,given food"
gaga,-ze,"spoil,spoiled"
gagara,-ye,"stiff,stiffen"
gagaza,-je,"stiff,stiffen"
gamba,-mbye,talk
gambana,-nye,betray
gambirira,-riye,"decide,determine,plan,plot,intent"
gamije,NULL,purpose
gana,-nnye,"go,advance,proceed,go forward"
ganda,-nze,"lazy,half-hearted"
gandagaza,-je,gather
gandika,-tse,"camp,stay"
ganira,-riye,"chat,converse,discuss"
ganya,-nije,"moan,groan,wail,grieve,lament"
ganyira,-ye,complain
ganza,-nje,"conquer,utterly defeat,rout,dominate,reign"
ganzwa,-njwe,"conquered,defeated"
gara,-ye,"become wider,be wider"
garagara,-ye,"visible,clear,obvious,evident"
garagaza,-je,"visible,clear,obvious"
garagazwa,-je,"visible,clear,obvious"
garama,-mye,lie
garuka,-tse,"return,return here,review"
gashya,-shije,"row,paddle"
gaya,-ye,"ungrateful,unappreciative"
gaza,-je,"widen,broaden,expand"
gemura,-ye,"bring food"
gemurira,-ye,"bring food"
gemurirwa,-we,"brought food"
gena,-nnye,"plan,decide,assign,determine"
genda,-nze,"go,leave,walk"
gendagenda,-nze,"walk,walk about"
gendana,-nye,"go,accompany,escort,go together"
gendanwa,-nwe,"accompanied,escorted"
genera,-ye,"allocate,role"
genga,-nze,"legislate,govern"
gengarara,-ye,"wide,widespread"
genza,-nje,"demonstrate,show,do"
genzereza,-je,do
genzura,-ye,investigate
gera,-ze,"reach,arrive,measure"
gerageza,-je,"try,attempt,tempt"
geragezwa,-jwe,"tried,attempted,tempted"
gereka,-tse,bargain
gereka,-tse,"place,stack,append"
gerekerana,-nye,"stacked,cascading"
gerekeranya,-nye,stack
gereranya,-nije,"compare,estimate"
gerwa,-we,reached
gesa,-she,harvest
geza,-jeje,"end,reach,until"
gimba,-mbye,puberty
gingimira,-ye,"stutter,stammer,hesitate"
gingimiranya,-nije,"hesitate,fearful"
gira,-ze,"have,make"
girwa,-we,"made of,composed of"
"gisha inama",-shije,"ask for advice,consult"
"gishwa inama",-shijwe,"asked for advice,consulted"
goboka,-tse,"help,aid"
gobotora,-ye,"pull,snatch,pluck,rescue,save"
gogora,-ye,"digest,grind ones teeth"
goheka,-tse,"ease,rest,sleep"
goma,-mye,"rebel,disobey"
gomba,-mbye,"have,need,must,should,owe"
gombeka,-tse,"force,pressure"
gondoza,-je,"ask too much,exaggerate"
gononwa,-nwe,reluctant
gora,-ye,"difficult,troublesome"
gorama,-mye,bend
goroba,-bye,"evening,later"
gorora,-ye,"straight,straighten,iron"
gororera,-ye,"reward,recompense"
gororoka,-tse,"straight,flexible"
gorwa,-we,"unfortunate,unlucky"
gota,-se,"encircle,surround"
gotomera,-ye,"swallow,gulp"
gubangura,-ye,"kill,hasten,quicken,speed up"
gubwa,-we,"feel,physically"
guma,-ye,"stay,remain"
gumana,-nye,"stay,remain,stay with,remain with"
gumbaha,-shye,"barren,sterile"
gura,-ze,"buy,purchase"
gurana,-nye,"exchange,swap"
gurira,-ze,"buy for,buy from"
gurisha,-shije,sell
gurishwa,-shijwe,sold
guriza,-je,"lend,lend money"
guruka,-tse,fly
gurwa,-zwe,bought
gusha,-shije,"fall,take"
guza,-jije,"borrow,lend"
gwa,-guye,fall
"gwa agacuho",-guye,"overcome,tiredness"
"gwa gitumo",-guye,"happen suddenly,unexpectedly,catch"
"gwa isari",-guye,"faint,tired,hungry,thirsty"
"gwa ivutu",-guye,"overeat,eat"
"gwa nabi",-guye,behaved
"gwa neza",-guye,behaved
gwira,-riye,"accumulated,multiplied"
gwiza,-jije,"accumulate,multiply"
ha,-haye,give
haba,-bye,"lost,wander"
habuka,-tse,"find,lost,find the way"
habwa,-we,"given,receive"
haga,-ze,"full,satisfied"
hagarara,-ze,"stop,stand"
hagararira,-ye,"represent,stand in for"
hagarika,-tse,"stop,stand"
haguruka,-tse,"stand,arise,stand up"
hagurutsa,-kije,stand
haha,-shye,"exchange,trade,buy"
hahamuka,-tse,traumatised
hahamura,-ye,traumatise
haka,-tse,pregnant
hakana,-niye,"deny,refuse,reject"
hakanira,-ye,"deny,refuse,reject"
hama,-mye,"remain,stay"
hamagara,-ye,"call,phone"
hamba,-mbye,"bury,bury someone"
hambana,-nye,"bury each other,take care of each other"
hambira,-riye,"tie,bind,wrap"
hambuka,-tse,"untied,loose"
hambura,-ye,"untie,unwrap"
hambwa,-mbwe,buried
hamiriza,-je,"dance,intore dance"
hamiriza,-je,"testify,testify to"
hamuka,-tse,cowardly
hamya,-mije,"witness,testify,affirm,authenticate"
hana,-nnye,"correct,reprimand"
hana,-nye,"abandon,leave"
hana,-nye,give
hanagura,-ye,"rub,polish,wipe,dust"
hanga,-nze,"perform,music"
hanga,-nze,"best,famous,come into fashion"
hanga,-nze,"introduce,invent,create"
hangana,-nye,"oppose,face"
hangayika,-tse,"worry,anxious,worried"
hanguka,-tse,"cease,go out of fashion,cease to be best"
hangwa,-nzwe,"possessed,invented,created"
hanika,-tse,"put,put above"
hanuka,-tse,"fall,plummet"
hanura,-ye,"prophesy,warn,scold"
hanura,-ye,"pull down"
hanuza,-je,"seek prophesy"
hanwa,-nwe,"corrected,reprimanded"
hara,-ze,"give up,let something go"
haranira,-ye,strive
harura,-ye,"scrape,scratch,dig"
hata,-se,peel
hata,-se,"force,compel"
hatwa,-swe,"forced,compelled"
hatwa,-swe,peeled
haza,-gije,"satisfy,sufficient,enough"
heba,-bye,"lost,lost forever"
hebuza,-je,"exceed,superior"
hehera,-reye,"humid,wet,moist"
heheta,-se,lust
heka,-tse,"carry,transport"
hekenya,-nye,chew
hekenywa,-nywe,chewed
hekwa,-tswe,carried
hemba,-mbye,"pay,reward"
hembwa,-mbwe,"earn,rewarded,paid"
hemuka,-tse,"unfaithful,fail"
hemura,-ye,abuse
hemurwa,-we,abused
henda,-nze,deceive
henda,-nze,"overcharge,charge,expensive"
hendahenda,-nze,"beg,beseech,plead"
henduka,-tse,cheap
hendwa,-nzwe,overcharged
hera,-reye,start
hera,-reye,give
hera,-ze,"end,cease,last,disappear"
hera,-ze,"crush,grind"
herekeza,-je,"accompany,escort"
hererana,-nye,"near,beside"
hererekanya,-nije,"convey,transmit"
heruka,-tse,"last,done,recently"
herutsa,-kije,last
heta,-se,give
heta,-se,bend
heza,-jeje,"go to extremes,in last position"
heza,-jeje,"send,refuse,permission"
higa,-ze,"vow,promise"
higa,-ze,hunt
higima,-mye,"murmur,hum"
hihibikana,-nye,follow
himba,-bye,"invent,write,author"
himbaza,-je,praise
hina,-nnye,"shorten,summarize,sum,resume,crouch"
hinda,-nze,"thunder,rumble"
hindagana,-nye,tremble
hinduka,-tse,"become,changed"
hindukira,-ye,"turn around,come back"
hindukiza,-je,turn
hindura,-ze,"change,edit,alter"
hindurwa,-we,"changed,edited"
hinga,-nze,"grow,cultivate,dig"
hinguka,-tse,"arrive,emerge"
hingutsa,-kije,"arrive,summon,place"
hinyagara,-ye,sprain
hinyuka,-tse,"displease,disappoint"
hinyura,-ye,"scorn,criticize"
hirika,-tse,"turn,upside,push"
hirwa,-riwe,"lucky,blessed,fortunate"
hisha,-she,"hide,conceal"
hisha,-shije,"ripen,burn"
hishura,-ye,reveal
hishwa,-shwe,"hidden,concealed"
hita,-se,pass
hitamo,-semo,"select,choose,pick"
hitwa,-swe,"diarrhea,diarrhoea"
hobera,-ye,embrace
hoberana,-nye,embrace
hogora,-ye,"wail,cry"
homa,-mye,plaster
homba,NULL,"lose,losing,suffer,loss"
